method,kind,dataset_label,dataset,k,num_samples,mean_recall,mean_regret,checkpoint
random,random,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,4.0,1000.0,0.04633333333333333,0.3789032812667679,
random,random,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,8.0,1000.0,0.077,0.546204564179036,
random,random,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,16.0,1000.0,0.13766666666666666,0.7106734167410643,
rank_adjacency,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,4.0,1000.0,0.40116666666666667,0.7587433758592874,checkpoints/ablations/rank_adjacency.pt
rank_adjacency,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,8.0,1000.0,0.5566666666666666,0.9065106898712938,checkpoints/ablations/rank_adjacency.pt
rank_adjacency,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,16.0,1000.0,0.723,0.9618916203221825,checkpoints/ablations/rank_adjacency.pt
rank_knn_euclidean,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,4.0,1000.0,0.3475,0.7607086016697123,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_euclidean,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,8.0,1000.0,0.5183333333333333,0.9070545536508071,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_euclidean,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,16.0,1000.0,0.689,0.9589810026545604,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,4.0,1000.0,0.37966666666666665,0.7647235030181481,checkpoints/ablations/rank_knn_linf.pt
rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,8.0,1000.0,0.547,0.9160217030694686,checkpoints/ablations/rank_knn_linf.pt
rank_knn_linf,graph,uniform_d3_n128_test,data/uniform_d3_n128_test.npz,16.0,1000.0,0.712,0.9640575481068747,checkpoints/ablations/rank_knn_linf.pt
coord_unshared_rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.59425,0.9026336090147843,checkpoints/ablations/coord_unshared_rank_knn_linf.pt
coord_unshared_rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.78575,0.9694852879881873,checkpoints/ablations/coord_unshared_rank_knn_linf.pt
coord_unshared_rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.92075,0.9910803710718223,checkpoints/ablations/coord_unshared_rank_knn_linf.pt
depth0_no_graph,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.44425,0.7324692824699589,checkpoints/ablations/depth0_no_graph.pt
depth0_no_graph,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.6178333333333332,0.8936062576128481,checkpoints/ablations/depth0_no_graph.pt
depth0_no_graph,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.7855,0.9630001446205323,checkpoints/ablations/depth0_no_graph.pt
depth1_rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.5740833333333333,0.8696221394440433,checkpoints/ablations/depth1_rank_knn_linf.pt
depth1_rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.769,0.9630161635921213,checkpoints/ablations/depth1_rank_knn_linf.pt
depth1_rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.9158333333333333,0.9902171733879307,checkpoints/ablations/depth1_rank_knn_linf.pt
depth2_rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.6075833333333333,0.8842758437432301,checkpoints/ablations/depth2_rank_knn_linf.pt
depth2_rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.7981666666666667,0.9698870134842981,checkpoints/ablations/depth2_rank_knn_linf.pt
depth2_rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.93025,0.9927098418697667,checkpoints/ablations/depth2_rank_knn_linf.pt
flat_mlp,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.08308333333333333,0.42230777211228737,checkpoints/ablations/flat_mlp.pt
flat_mlp,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.14816666666666667,0.6111085276996422,checkpoints/ablations/flat_mlp.pt
flat_mlp,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.2761666666666666,0.7757875123811925,checkpoints/ablations/flat_mlp.pt
knn_euclidean,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.6225,0.891358905206696,checkpoints/ablations/knn_euclidean.pt
knn_euclidean,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.8035833333333332,0.9721793069266168,checkpoints/ablations/knn_euclidean.pt
knn_euclidean,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.9353333333333332,0.9935533368625672,checkpoints/ablations/knn_euclidean.pt
knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.59625,0.8839236735601553,checkpoints/ablations/knn_linf.pt
knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.7895,0.9686374561331392,checkpoints/ablations/knn_linf.pt
knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.9276666666666666,0.9921521735397214,checkpoints/ablations/knn_linf.pt
local,local,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.18891666666666665,0.7145895475867196,
local,local,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.28583333333333333,0.7931688155802801,
local,local,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.44566666666666666,0.875457001751698,
random,random,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.0845,0.41791085030083713,
random,random,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.15441666666666665,0.6086821573339157,
random,random,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.26441666666666663,0.7718450520309031,
rank_adjacency,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.6496666666666666,0.8881167395463183,checkpoints/ablations/rank_adjacency.pt
rank_adjacency,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.8276666666666667,0.9736180966112751,checkpoints/ablations/rank_adjacency.pt
rank_adjacency,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.9398333333333333,0.9932691303046546,checkpoints/ablations/rank_adjacency.pt
rank_knn_euclidean,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.6175833333333333,0.8868330285578171,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_euclidean,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.80775,0.9716591016290174,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_euclidean,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.93275,0.9922903917923416,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,4.0,2000.0,0.6075833333333333,0.8842758437432301,checkpoints/ablations/rank_knn_linf.pt
rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,8.0,2000.0,0.7981666666666667,0.9698870134842981,checkpoints/ablations/rank_knn_linf.pt
